"","Phylum","Class","Order","Family","Genus","Phylum.size","Class.size","Order.size","Family.size","Genus.size","MinNumPhage","MedianNumPhage","SD_NumPhage","MaxNumPhage","Min_PhagePercent","Med_PhagePercent","SD_PhagePercent","Max_PhagePercent","MinPhageLength","MedianPhageLength","SD_PhageLength","MaxPhageLength","Min_BacterialGenome","Median_BacterialGenome","Sd_baclength","Max_BacterialGenome"
"1","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium",28,8,3,3,3,0,4,3.05505046330389,6,0,2.36039200808389,1.63804258578398,3.1476722337982,5242,20765,17302.6971375371,66608,161664,4683883,2612333.60389793,4688830
"2","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",4,4,4,4,4,0,0,0.5,1,0,0,0.320268956296066,0.640537912592132,39374,39374,NA,39374,5660893,5891410.5,272231.996499769,6147021
"3","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",8,3,3,3,3,0,1,0.577350269189626,1,0,0.784728211207071,0.511798383777298,0.961542445680683,37880,42146,6033.03505708362,46412,4826828,4827149,299152.06431011,5345135
"4","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia",28,11,7,7,5,2,5,1.51657508881031,6,1.54174923262229,2.72930728171516,0.605173721360191,3.14686719793743,7579,25823,13613.3330723934,52153,4761345,5070609,139003.16810886,5076382
"5","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",28,9,9,9,5,1,3,1.58113883008419,5,0.436521246045691,1.09563663546351,0.891860025916019,2.51349266565303,9550,20334,17317.6952873836,66515,6081024,6276716,702453.139231864,7787708
"6","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",28,9,9,9,4,0,0.5,0.957427107756338,2,0,0.430157637878825,0.627601652444841,1.2447023429324,35677,36113,4998.83559775007,44545,5177753,5363212.5,278422.390592064,5767644
"7","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium",8,8,8,4,4,0,0.5,0.577350269189626,1,0,0.521611756428409,0.801843819130863,1.61439924056357,38195,42090,5508.3618254432,45985,2848428,3706920.5,461954.851876963,3859991
"8","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",8,5,5,5,5,0,1,1.30384048104053,3,0,0.584687394273578,0.639858485183643,1.46994473131845,6635,17871,32158.111078959,91230,5152741,5392608,1112821.33840334,7804239
"9","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",28,11,2,2,2,2,2.5,0.707106781186548,3,0.778918636251,1.24862210800463,0.664261020047713,1.71832557975826,15058,28540,14579.3675720177,51722,5597247,5753389.5,220818.841162841,5909532
"10","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",28,11,7,7,2,2,3,1.4142135623731,4,0.878364564858353,2.60170930261153,2.43717750077485,4.32505404036471,5198,33845.5,31700.4545125145,95699,4671295,4691988,29264.3212461865,4712681
"11","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",28,8,5,5,5,0,1,0.707106781186548,2,0,1.00961639367335,0.571450751323479,1.58141104134704,31505,38544,3652.54808318795,40888,3757838,4066677,202163.139972894,4262143
"12","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",28,11,2,2,2,1,2.5,2.12132034355964,4,0.862853654498996,1.41943726660508,0.787128092835035,1.97602087871117,10037,24272,14481.7816756088,43003,4216474,4376001.5,225605.954071474,4535529
"13","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",8,8,8,3,3,2,2,0,2,1.01913045720955,1.22668822790643,0.179996555738085,1.37763686188055,19414,50450.5,17439.7719442276,69533,6456491,8530115,1321420.78060296,8912289
"14","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Unknown Cellulomonadaceae",8,8,8,1,1,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,3639348,3639348,NA,3639348
