"","Phylum","Class","Order","Family","Genus","Phylum.size","Class.size","Order.size","Family.size","Genus.size","MinNumPhage","MedianNumPhage","SD_NumPhage","MaxNumPhage","Min_PhagePercent","Med_PhagePercent","SD_PhagePercent","Max_PhagePercent","MinPhageLength","MedianPhageLength","SD_PhageLength","MaxPhageLength","Min_BacterialGenome","Median_BacterialGenome","Sd_baclength","Max_BacterialGenome"
"1","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium",28,8,3,3,3,0,0,1.15470053837925,2,0,0,1.17912276149058,2.0423005312626,29152,47880,26485.3915961233,66608,161664,4683883,2612333.60389793,4688830
"2","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",4,4,4,4,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5660893,5891410.5,272231.996499769,6147021
"3","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",8,3,3,3,3,0,0,0.577350269189626,1,0,0,0.555146789850994,0.961542445680683,46412,46412,NA,46412,4826828,4827149,299152.06431011,5345135
"4","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia",28,11,7,7,5,2,3,0.447213595499958,3,1.41364459963809,2.07080990383229,0.339937995515854,2.11144262947508,15523,35202,13535.222299128,52153,4761345,5070609,139003.16810886,5076382
"5","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",28,9,9,9,5,0,1,1.14017542509914,3,0,0.550303693842449,0.872266639373963,2.19201173482867,18665,34541,17756.6040082208,66515,6081024,6276716,702453.139231864,7787708
"6","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",28,9,9,9,4,0,0,0.5,1,0,0,0.309285732614565,0.61857146522913,35677,35677,NA,35677,5177753,5363212.5,278422.390592064,5767644
"7","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium",8,8,8,4,4,0,0.5,0.577350269189626,1,0,0.521611756428409,0.801843819130863,1.61439924056357,38195,42090,5508.3618254432,45985,2848428,3706920.5,461954.851876963,3859991
"8","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",8,5,5,5,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5152741,5392608,1112821.33840334,7804239
"9","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",28,11,2,2,2,1,1,0,1,0.509893524441569,0.692561788249919,0.258331936092914,0.875230052058268,28540,40131,16392.1494014665,51722,5597247,5753389.5,220818.841162841,5909532
"10","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",28,11,7,7,2,1,2.5,2.12132034355964,4,0.767089211878077,2.54607162612139,2.51586105744613,4.32505404036471,20466,35833,29592.1415362255,95699,4671295,4691988,29264.3212461865,4712681
"11","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",28,8,5,5,5,0,1,0.836660026534076,2,0,1.00961639367335,0.701099350326165,1.58141104134704,31505,37526.5,4127.13722411391,40888,3757838,4066677,202163.139972894,4262143
"12","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",28,11,2,2,2,1,1.5,0.707106781186548,2,0.862853654498996,1.17307129694642,0.438713997236551,1.48328893939384,24272,36382,9498.59728240614,43003,4216474,4376001.5,225605.954071474,4535529
"13","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",8,8,8,3,3,1,1,0.577350269189626,2,0.433651832360994,1.07694721482613,0.421338748269329,1.22668822790643,36991,54663,13649.0892858584,69533,6456491,8530115,1321420.78060296,8912289
"14","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Unknown Cellulomonadaceae",8,8,8,1,1,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,3639348,3639348,NA,3639348
