amPh_106_00010	amCh_1
amPh_110_00028	amCh_2
amPh_20_00003	amCh_3
amPh_20_00008	amCh_4
amPh_20_00009	amCh_5
amPh_23_00036	amCh_6
amPh_31_00019	amCh_7
amPh_34_00038	amCh_8
amPh_44_00017	amCh_9
amPh_46_00018	amCh_10
amPh_61_00016	amCh_11
amPh_63_00035	amCh_12
amPh_66_00035	amCh_13
amPh_68_00016	amCh_14
amPh_71_00016	amCh_15
amPh_75_00047	amCh_16
amPh_76_00010	amCh_17
amPh_78_00073	amCh_18
amPh_78_00074	amCh_19
amPh_78_00080	amCh_20
amPh_79_00011	amCh_21
amPh_79_00018	amCh_22
amPh_82_00008	amCh_23
amPh_82_00015	amCh_24
amPh_83_00010	amCh_25
amPh_88_00005	amCh_26
amPh_88_00015	amCh_27
amPh_91_00012	amCh_28
amPh_95_00004	amCh_29
