"","phage_seq","Source","Isolation","DetailedIsolation","Genus","Isolate.ID","Sequencing.ID","Closest.ID","Bac.size","BD.Inhibition","fullseq","length.checkv","max_score","max_score_group","hallmark","viral","cellular","prediction","rd","phage_filt","og_phage_seq","genome","secondary_cluster","representative","intact_est2"
"16","amPh_19","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP6A","JWS06","Janthinobacterium lividum strain DSM 1522",6238595,1.03,"amPh_19.fna",31233,0.9,"dsDNAphage",4,15.6,35.6,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","JWS06_2||0_partial","amPh_19.fna","63_0","reference_phage","Degraded"
"17","amPh_20","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP6A","JWS06","Janthinobacterium lividum strain DSM 1522",6238595,1.03,"amPh_20.fna",15311,0.893,"dsDNAphage",3,27.9,25.6,"virus","rd2","phage_pass","JWS06_2||1_partial_1","amPh_20.fna","9_0","reference_phage","Degraded"
"66","amPh_76","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC11P","LBS20","Janthinobacterium lividum strain EIF1",6325103,0.98,"amPh_76.fna",39597,0.927,"dsDNAphage",7,45.8,8.5,"virus","rd1","phage_pass","LB_S20_10||0_partial_1","amPh_76.fna","13_0","reference_phage","Intact"
"67","amPh_77","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC11P","LBS20","Janthinobacterium lividum strain EIF1",6325103,0.98,"amPh_77.fna",32535,0.9,"dsDNAphage",17,32.2,24.4,"virus","rd1","phage_pass","LB_S20_13||0_partial_1","amPh_77.fna","16_0","reference_phage","Intact"
"68","amPh_78","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC11P","LBS20","Janthinobacterium lividum strain EIF1",6325103,0.98,"amPh_78.fna",66515,0.9,"dsDNAphage",10,30,16.9,"virus","rd1","phage_pass","LB_S20_4||0_partial_1","amPh_78.fna","11_0","reference_phage","Intact"
"69","amPh_79","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC11P","LBS20","Janthinobacterium lividum strain EIF1",6325103,0.98,"amPh_79.fna",20334,0.853,"dsDNAphage",5,26.5,22.4,"virus","rd2","phage_pass","LB_S20_4||1_partial_1","amPh_79.fna","10_0","reference_phage","Degraded"
"70","amPh_80","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC130","LBS21","Janthinobacterium lividum strain EIF1",7787708,0.57,"amPh_80.fna",33995,0.953,"dsDNAphage",17,50.8,18,"virus","rd1","phage_pass","LB_S21_59||full_1","amPh_80.fna","18_0","reference_phage","Intact"
"71","amPh_81","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_81.fna",9550,0.873,"dsDNAphage",3,45.5,0,"virus","rd2","phage_pass","LB_S22_108||full","amPh_81.fna","19_0","reference_phage","Degraded"
"72","amPh_82","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_82.fna",65077,0.913,"dsDNAphage",9,32.6,20,"virus","rd1","phage_pass","LB_S22_18||0_partial_1","amPh_82.fna","12_0","reference_phage","Intact"
"73","amPh_83","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_83.fna",18074,0.9,"dsDNAphage",3,25,22.7,"virus","rd1","phage_pass","LB_S22_18||1_partial_1","amPh_83.fna","7_0","reference_phage","Degraded"
"74","amPh_84","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_84.fna",16570,0.993,"dsDNAphage",14,85.7,0,"virus","rd1","phage_pass","LB_S22_22||full","amPh_84.fna","14_0","reference_phage","Degraded"
"75","amPh_85","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_85.fna",18665,0.987,"dsDNAphage",14,78.3,8.7,"virus","rd1","phage_pass","LB_S22_40||full","amPh_85.fna","15_0","reference_phage","Intact"
"76","amPh_86","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_86.fna",34541,0.887,"dsDNAphage",18,36,27.9,"virus","rd2","phage_pass","LB_S23_18||0_partial_1","amPh_86.fna","17_0","reference_phage","Intact"
"77","amPh_87","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_87.fna",16688,0.92,"dsDNAphage",2,14.8,18,"virus","rd1","phage_pass","LB_S23_4||0_partial_1","amPh_87.fna","78_0","reference_phage","Degraded"
"78","amPh_88","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_88.fna",17541,0.873,"dsDNAphage",3,26,24,"virus","rd2","phage_pass","LB_S23_4||1_partial_1","amPh_88.fna","8_0","reference_phage","Degraded"
"91","janth_14","NCBI","Enviro","Soil_Japan","Janthinobacterium","MEG1","GCA_001854915","Janthinobacterium lividum",6598564,NA,"janth_14.fna",29128,0.913,"dsDNAphage",18,35.7,17.3,"virus","rd1","phage_pass","GCA_001854915.1_12||0_partial_1","janth_14.fna","6_0","reference_phage","Intact"
"92","janth_15","NCBI","Enviro","Soil_Japan","Janthinobacterium","MEG1","GCA_001854915","Janthinobacterium lividum",6598564,NA,"janth_15.fna",39455,0.947,"dsDNAphage",10,28.3,27.2,"virus","rd1","phage_pass","GCA_001854915.1_6||0_partial_1","janth_15.fna","27_0","reference_phage","Intact"
"93","janth_16","NCBI","Enviro","Soil_Japan","Janthinobacterium","MEG1","GCA_001854915","Janthinobacterium lividum",6598564,NA,"janth_16.fna",68009,0.907,"dsDNAphage",12,34.5,21.4,"virus","rd1","phage_pass","GCA_001854915.1_9||0_partial_1","janth_16.fna","29_0","reference_phage","Intact"
"94","janth_17","NCBI","Enviro","Soil_Japan","Janthinobacterium","MEG1","GCA_001854915","Janthinobacterium lividum",6598564,NA,"janth_17.fna",42870,0.9,"dsDNAphage",8,39.8,14.8,"virus","rd1","phage_pass","GCA_001854915.1_9||1_partial_1","janth_17.fna","28_0","reference_phage","Intact"
"95","janth_18","NCBI","Enviro","TapwaterTofu_CA","Janthinobacterium","UCD_MED1","GCA_006152155","Janthinobacterium lividum",6382737,NA,"janth_18.fna",33543,0.913,"dsDNAphage",18,37.6,22.4,"virus","rd1","phage_pass","GCA_006152155.1_12||0_partial_1","janth_18.fna","2_0","reference_phage","Intact"
"96","janth_19","NCBI","Enviro","TapwaterTofu_CA","Janthinobacterium","UCD_MED1","GCA_006152155","Janthinobacterium lividum",6382737,NA,"janth_19.fna",68516,0.947,"dsDNAphage",9,36.8,14.5,"virus","rd1","phage_pass","GCA_006152155.1_1||0_partial_1","janth_19.fna","30_0","reference_phage","Intact"
"97","janth_2","NCBI","Host_non","Willow_NY","Janthinobacterium","RIT308","GCA_000632025","Janthinobacterium lividum",6212741,NA,"janth_2.fna",38995,0.9,"dsDNAphage",18,37.3,20.5,"virus","rd1","phage_pass","GCA_000632025.1_1||0_partial_1","janth_2.fna","7_0","reference_phage","Intact"
"98","janth_20","NCBI","Enviro","TapwaterTofu_CA","Janthinobacterium","UCD_MED1","GCA_006152155","Janthinobacterium lividum",6382737,NA,"janth_20.fna",17778,0.887,"dsDNAphage",4,25.6,15.4,"virus","rd2","phage_pass","GCA_006152155.1_1||1_partial_1","janth_20.fna","19_0","reference_phage","Degraded"
"100","janth_22","NCBI","Enviro","PondShore_CA","Janthinobacterium","HSC-65S10","GCA_011601275","Janthinobacterium lividum",6370320,NA,"janth_22.fna",18577,0.853,"dsDNAphage",3,30.2,25.6,"virus","rd2","phage_pass","GCA_011601275.1_33||0_partial_1","janth_22.fna","22_0","reference_phage","Degraded"
"101","janth_23","NCBI","Enviro","PondShore_CA","Janthinobacterium","HSC-65S10","GCA_011601275","Janthinobacterium lividum",6370320,NA,"janth_23.fna",39088,0.92,"dsDNAphage",18,37.1,24.7,"virus","rd1","phage_pass","GCA_011601275.1_44||0_partial_1","janth_23.fna","3_0","reference_phage","Intact"
"102","janth_24","NCBI","Enviro","PondShore_CA","Janthinobacterium","HSC-65S10","GCA_011601275","Janthinobacterium lividum",6370320,NA,"janth_24.fna",64276,0.96,"dsDNAphage",11,40.9,14.5,"virus","rd1","phage_pass","GCA_011601275.1_9||0_partial_1","janth_24.fna","32_0","reference_phage","Intact"
"103","janth_25","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF1","GCA_013372045","Janthinobacterium lividum",6373589,NA,"janth_25.fna",45311,0.96,"dsDNAphage",9,36.6,12.2,"virus","rd1","phage_pass","GCA_013372045.1_1||0_partial_1","janth_25.fna","34_0","reference_phage","Intact"
"104","janth_26","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF1","GCA_013372045","Janthinobacterium lividum",6373589,NA,"janth_26.fna",20019,0.88,"dsDNAphage",3,20,22.2,"virus","rd2","phage_pass","GCA_013372045.1_1||1_partial_1","janth_26.fna","20_1","reference_phage","Degraded"
"106","janth_28","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_28.fna",65207,0.9,"dsDNAphage",13,26.9,23.4,"virus","rd1","phage_pass","GCA_013372065.1_1||0_partial_1","janth_28.fna","31_1","reference_phage","Intact"
"107","janth_29","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_29.fna",57151,0.947,"dsDNAphage",9,38.7,15.1,"virus","rd1","phage_pass","GCA_013372065.1_1||1_partial_1","janth_29.fna","31_2","reference_phage","Intact"
"108","janth_3","NCBI","Host_non","Willow_NY","Janthinobacterium","RIT308","GCA_000632025","Janthinobacterium lividum",6212741,NA,"janth_3.fna",16012,0.913,"dsDNAphage",3,24.4,12.2,"virus","rd1","phage_pass","GCA_000632025.1_8||0_partial_1","janth_3.fna","17_1","reference_phage","Degraded"
"109","janth_30","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_30.fna",37888,0.9,"dsDNAphage",18,35.2,26.4,"virus","rd1","phage_pass","GCA_013372065.1_1||2_partial_1","janth_30.fna","4_0","reference_phage","Intact"
"110","janth_31","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_31.fna",49020,0.9,"dsDNAphage",18,39.3,22.6,"virus","rd1","phage_pass","GCA_013372065.1_1||3_partial_1","janth_31.fna","5_0","reference_phage","Intact"
"111","janth_32","NCBI","Enviro","Pond_Germany","Janthinobacterium","EIF2","GCA_013372065","Janthinobacterium lividum",6756191,NA,"janth_32.fna",20032,0.893,"dsDNAphage",3,23.7,15.8,"virus","rd2","phage_pass","GCA_013372065.1_1||4_partial_1","janth_32.fna","20_2","reference_phage","Degraded"
