genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
janth_40.fna,1_1,0.050000000000000044,average,fastANI,1
janth_47.fna,1_2,0.050000000000000044,average,fastANI,1
janth_18.fna,2_0,0.050000000000000044,average,fastANI,2
janth_23.fna,3_0,0.050000000000000044,average,fastANI,3
janth_30.fna,4_0,0.050000000000000044,average,fastANI,4
janth_31.fna,5_0,0.050000000000000044,average,fastANI,5
janth_14.fna,6_0,0.050000000000000044,average,fastANI,6
janth_2.fna,7_0,0.050000000000000044,average,fastANI,7
janth_11.fna,8_0,0.050000000000000044,average,fastANI,8
janth_42.fna,9_0,0.050000000000000044,average,fastANI,9
janth_50.fna,10_0,0.050000000000000044,average,fastANI,10
janth_34.fna,11_0,0.050000000000000044,average,fastANI,11
janth_39.fna,12_0,0.050000000000000044,average,fastANI,12
janth_8.fna,13_0,0.050000000000000044,average,fastANI,13
janth_6.fna,14_0,0.050000000000000044,average,fastANI,14
janth_37.fna,15_0,0.050000000000000044,average,fastANI,15
janth_5.fna,16_0,0.050000000000000044,average,fastANI,16
janth_3.fna,17_1,0.050000000000000044,average,fastANI,17
janth_46.fna,17_2,0.050000000000000044,average,fastANI,17
janth_49.fna,18_0,0.050000000000000044,average,fastANI,18
janth_20.fna,19_0,0.050000000000000044,average,fastANI,19
janth_26.fna,20_1,0.050000000000000044,average,fastANI,20
janth_32.fna,20_2,0.050000000000000044,average,fastANI,20
janth_36.fna,20_3,0.050000000000000044,average,fastANI,20
janth_4.fna,21_0,0.050000000000000044,average,fastANI,21
janth_22.fna,22_0,0.050000000000000044,average,fastANI,22
janth_41.fna,23_0,0.050000000000000044,average,fastANI,23
janth_1.fna,24_0,0.050000000000000044,average,fastANI,24
janth_9.fna,25_0,0.050000000000000044,average,fastANI,25
janth_10.fna,26_0,0.050000000000000044,average,fastANI,26
janth_15.fna,27_0,0.050000000000000044,average,fastANI,27
janth_17.fna,28_0,0.050000000000000044,average,fastANI,28
janth_16.fna,29_0,0.050000000000000044,average,fastANI,29
janth_19.fna,30_0,0.050000000000000044,average,fastANI,30
janth_28.fna,31_1,0.050000000000000044,average,fastANI,31
janth_29.fna,31_2,0.050000000000000044,average,fastANI,31
janth_24.fna,32_0,0.050000000000000044,average,fastANI,32
janth_21.fna,33_1,0.050000000000000044,average,fastANI,33
janth_33.fna,33_1,0.050000000000000044,average,fastANI,33
janth_25.fna,34_0,0.050000000000000044,average,fastANI,34
janth_35.fna,35_0,0.050000000000000044,average,fastANI,35
janth_13.fna,36_1,0.050000000000000044,average,fastANI,36
janth_27.fna,36_1,0.050000000000000044,average,fastANI,36
janth_48.fna,36_1,0.050000000000000044,average,fastANI,36
janth_12.fna,37_0,0.050000000000000044,average,fastANI,37
janth_44.fna,38_0,0.050000000000000044,average,fastANI,38
janth_45.fna,39_0,0.050000000000000044,average,fastANI,39
janth_38.fna,40_0,0.050000000000000044,average,fastANI,40
janth_43.fna,41_0,0.050000000000000044,average,fastANI,41
janth_51.fna,42_0,0.050000000000000044,average,fastANI,42
janth_7.fna,43_0,0.050000000000000044,average,fastANI,43
