scaffold	type	Quality
GCA_023512775.1_98||full	lytic	low quality draft
GCA_013372065.1_1||2_partial_1 1-37888/75511	lysogenic	medium quality draft
GCA_011601275.1_9||0_partial_1 1-64276/78853	lysogenic	low quality draft
GCA_008757015.1_1||0_partial_1 1-41866/68346	lysogenic	medium quality draft
GCA_020208155.1_42||0_partial_1 1-30509/61655	lytic	medium quality draft
GCA_023512775.1_1625||full	lytic	low quality draft
GCA_011601275.1_44||0_partial_1 1-39088/65637	lysogenic	medium quality draft
GCA_023509035.1_1||1_partial_1 1-40592/64322	lysogenic	medium quality draft
GCA_000632025.1_8||0_partial_1 7687-23698/36483	lytic	low quality draft
GCA_020208155.1_11||1_partial_1 1-24085/37485	lytic	low quality draft
GCA_001678745.2_1||1_partial_1 6718-39467/87529	lysogenic	medium quality draft
GCA_000783415.1_78||full_1 61454-95874/95874	lysogenic	low quality draft
GCA_001854915.1_9||1_partial_1 1-42870/75042	lysogenic	medium quality draft
GCA_006152155.1_12||0_partial_1 1-33543/69519	lysogenic	medium quality draft
GCA_023512775.1_646||full	lytic	low quality draft
GCA_018138675.1_17||0_partial_1 13420-29770/39408	lysogenic	low quality draft
GCA_020858175.1_35||0_partial_1 1-10725/23316	lytic	low quality draft
GCA_013372065.1_1||4_partial_1 10866-30897/40572	lytic	low quality draft
GCA_000632025.1_1||0_partial_1 1-38995/61355	lysogenic	medium quality draft
GCA_023509035.1_1||2_partial	lytic	low quality draft
GCA_013372065.1_1||0_partial_1 1265-66471/157593	lysogenic	medium quality draft
GCA_013372045.1_1||0_partial_1 4013-49323/59817	lysogenic	medium quality draft
GCA_000242815.2_21||0_partial_1 3957-44067/91722	lysogenic	medium quality draft
GCA_001678745.2_14||full_1 15043-50246/69818	lysogenic	high quality draft
GCA_013372045.1_1||1_partial_1 7732-27750/42696	lytic	low quality draft
GCA_900451225.1_4||0_partial_1 3844-33380/64642	lytic	medium quality draft
GCA_900451225.1_1||0_partial_1 13774-27971/45740	lytic	low quality draft
GCA_023509035.1_1||0_partial_1 10823-95706/133018	lysogenic	low quality draft
GCA_006152155.1_1||1_partial_1 9127-26904/36904	lytic	low quality draft
GCA_023512775.1_1471||full	lytic	low quality draft
GCA_001854915.1_9||0_partial_1 1-68009/115326	lysogenic	medium quality draft
GCA_001678745.2_1||2_partial_1 1-38038/90789	lysogenic	low quality draft
GCA_023512775.1_123||full	lytic	low quality draft
GCA_018138675.1_12||0_partial_1 1-33760/57204	lysogenic	medium quality draft
GCA_900451145.1_2||0_partial_1 7351-20250/33205	lysogenic	low quality draft
GCA_001678745.2_1||3_partial_1 1-32026/58922	lysogenic	medium quality draft
GCA_900119665.1_10||0_partial_1 5626-25822/42719	lytic	low quality draft
GCA_000783415.1_93||0_partial_1 4467-45913/107152	lysogenic	medium quality draft
GCA_001678745.2_1||4_partial_1 1468-37057/56619	lysogenic	low quality draft
GCA_020208155.1_11||0_partial_1 1-33043/56439	lytic	high quality draft
GCA_017356645.1_1||0_partial_1 1-42764/62117	lysogenic	medium quality draft
GCA_013372065.1_1||1_partial_1 7850-65000/76790	lysogenic	medium quality draft
GCA_000783415.1_104||0_partial_1 1-25741/29067	lytic	low quality draft
GCA_001678745.2_1||0_partial_1 7871-87895/185701	lysogenic	high quality draft
GCA_018138675.1_17||1_partial_1 14868-34457/48590	lytic	low quality draft
GCA_011601275.1_33||0_partial_1 9908-28484/44132	lytic	low quality draft
GCA_023512775.1_319||full_1 94-1907/1907	lytic	low quality draft
GCA_006152155.1_1||0_partial_1 1-68516/82919	lysogenic	low quality draft
GCA_013372065.1_1||3_partial_1 1-49020/61963	lysogenic	medium quality draft
GCA_001854915.1_12||0_partial_1 9284-38411/74691	lytic	medium quality draft
GCA_001854915.1_6||0_partial_1 1-39455/63334	lytic	low quality draft
GCA_023512775.1_396||full	lytic	low quality draft
GCA_945864765.1_1||full_fragment_1	lysogenic	low quality draft
GCA_001678745.2_1||4_partial_1 1468-37057/56619	lysogenic	complete circular
