phage_seq	rename
JWS03_119||0_partial	amPh_1
JWS03_21||0_partial	amPh_2
JWS03_26||full_1	amPh_3
JWS03_37||full_1	amPh_4
JWS03_4||0_partial_1	amPh_5
JWS03_4||1_partial_1	amPh_6
JWS03_71||full	amPh_7
JWS03_72||full_1	amPh_8
JWS03_85||full	amPh_9
JWS04_1||0_partial_1	amPh_10
JWS04_1||1_partial_1	amPh_11
JWS04_2||0_partial_1	amPh_12
JWS05_1||0_partial_1	amPh_13
JWS05_1||1_partial_1	amPh_14
JWS05_1||2_partial_1	amPh_15
JWS05_1||3_partial_1	amPh_16
JWS05_1||4_partial_1	amPh_17
JWS05_5||0_partial	amPh_18
JWS06_2||0_partial	amPh_19
JWS06_2||1_partial_1	amPh_20
JWS07_1||0_partial_1	amPh_21
JWS11_1||0_partial_1	amPh_22
JWS11_8||0_partial_1	amPh_23
JWS12_2||0_partial_1	amPh_24
JWS12_2||1_partial_1	amPh_25
JWS12_3||0_partial_1	amPh_26
JWS12_9||0_partial_1	amPh_27
JWS13_35||0_partial_1	amPh_28
JWS13_45||full_1	amPh_29
JWS13_58||full	amPh_30
JWS14_11||0_partial	amPh_31
JWS14_17||0_partial	amPh_32
JWS14_44||full	amPh_33
JWS14_4||0_partial_1	amPh_34
JWS15_1||full	amPh_35
JWS15_2||0_partial_1	amPh_36
LBS01-lw_1||0_partial_1	amPh_37
LBS01-lw_1||1_partial_1	amPh_38
LBS01-lw_1||2_partial_1	amPh_39
LB_S02_10||0_partial_1	amPh_40
LB_S02_15||full_1	amPh_41
LB_S02_1||0_partial_1	amPh_42
LB_S02_3||0_partial_1	amPh_43
LB_S02_4||0_partial_1	amPh_44
LB_S02_89||full	amPh_45
LB_S04_1||0_partial_1	amPh_46
LB_S04_5||0_partial_1	amPh_47
LB_S04_5||1_partial	amPh_48
LB_S04_9||0_partial_1	amPh_49
LB_S05_36||full	amPh_50
LB_S10_1||0_partial_1	amPh_51
LB_S11_12||0_partial_1	amPh_52
LB_S12_13||full_1	amPh_53
LB_S12_14||0_partial_1	amPh_54
LB_S13_25||0_partial	amPh_55
LB_S13_26||0_partial	amPh_56
LB_S13_32||full	amPh_57
LB_S13_48||full	amPh_58
LB_S13_4||0_partial_1	amPh_59
LB_S13_5||0_partial_1	amPh_60
LB_S14_19||0_partial_1	amPh_61
LB_S14_19||1_partial_1	amPh_62
LB_S14_25||full_1	amPh_63
LB_S14_3||full	amPh_64
LB_S14_4||0_partial_1	amPh_65
LB_S15_17||full_1	amPh_66
LB_S15_23||full	amPh_67
LB_S15_4||0_partial_1	amPh_68
LB_S15_4||1_partial_1	amPh_69
LB_S15_6||0_partial_1	amPh_70
LB_S16_13||0_partial_1	amPh_71
LB_S16_13||1_partial_1	amPh_72
LB_S16_18||full	amPh_73
LB_S16_26||0_partial_1	amPh_74
LB_S16_44||full_1	amPh_75
LB_S20_10||0_partial_1	amPh_76
LB_S20_13||0_partial_1	amPh_77
LB_S20_4||0_partial_1	amPh_78
LB_S20_4||1_partial_1	amPh_79
LB_S21_59||full_1	amPh_80
LB_S22_108||full	amPh_81
LB_S22_18||0_partial_1	amPh_82
LB_S22_18||1_partial_1	amPh_83
LB_S22_22||full	amPh_84
LB_S22_40||full	amPh_85
LB_S23_18||0_partial_1	amPh_86
LB_S23_4||0_partial_1	amPh_87
LB_S23_4||1_partial_1	amPh_88
LB_S27_12||0_partial_1	amPh_89
LB_S27_1||0_partial_1	amPh_90
LB_S28_21||0_partial_1	amPh_91
LB_S31_7||0_partial_1	amPh_92
LB_S32_5||0_partial_1	amPh_93
LB_S34_108||full	amPh_94
LB_S34_3||0_partial_1	amPh_95
LB_S34_52||full	amPh_96
LB_S35_63||full	amPh_97
LB_S35_7||0_partial	amPh_98
LB_S36_46||full_1	amPh_99
LB_S39_2||0_partial	amPh_100
LB_S39_4||0_partial_1	amPh_101
LB_S39_5||0_partial_1	amPh_102
LB_S41_4||0_partial_1	amPh_103
LB_S41_9||0_partial_1	amPh_104
LB_S43_1||0_partial_1	amPh_105
LB_S44_2||0_partial_1	amPh_106
LB_S45_17||full_1	amPh_107
LB_S45_9||0_partial	amPh_108
LB_S46_23||0_partial_1	amPh_109
LB_S47_6||0_partial_1	amPh_110
LB_S48_32||0_partial_1	amPh_111
LB_S48_55||0_partial_1	amPh_112
LB_S50_36||0_partial_1	amPh_113
LB_S50_5||0_partial_1	amPh_114
