"","Phylum","Class","Order","Family","Genus","iso_name","Num_of_phage","phage.length.sum","bac.size","percent"
"1","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","JWS02",0,0,161664,0
"2","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium","LBS32",0,0,2848428,0
"3","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Unknown Cellulomonadaceae","JWS09",0,0,3639348,0
"4","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium","LBS31",0,0,3661248,0
"5","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium","LBS30",0,0,3752593,0
"6","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS43",0,0,3757838,0
"7","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium","LBS33",0,0,3859991,0
"8","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS46",0,0,4049855,0
"9","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS42",0,0,4066677,0
"10","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","LBS47",0,0,4216474,0
"11","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS44",1,38544,4239816,0.909096055111826
"12","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS45",0,0,4262143,0
"13","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","JWS14",2,22348,4535529,0.492731939317332
"14","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","LBS41",1,5198,4671295,0.111275352980276
"15","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","LBS04",4,110558,4683883,2.36039200808389
"16","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","LBS02",4,51829,4688830,1.1053717025356
"17","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","JWS12",0,0,4712681,0
"18","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS12",0,0,4761345,0
"19","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","LBS11",0,0,4826828,0
"20","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","LBS10",1,37880,4827149,0.784728211207071
"21","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS14",2,32196,5069997,0.63502996155619
"22","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS16",2,32196,5070609,0.634953316258461
"23","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS15",2,32196,5071470,0.634845518163373
"24","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS13",3,87985,5076382,1.73322259829934
"25","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS36",1,51609,5152741,1.00158342909143
"26","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","LBS28",1,44545,5177753,0.86031527575765
"27","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS37",0,0,5192781,0
"28","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","JWS07",0,0,5210595,0
"29","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","LBS09",0,0,5345135,0
"30","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS38",0,0,5392608,0
"31","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","LBS29",0,0,5515830,0
"32","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","JWS11",1,15058,5597247,0.269025111809431
"33","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","LBS06",0,0,5660893,0
"34","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","LBS07",0,0,5663361,0
"35","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","LBS27",1,36113,5767644,0.62613087770327
"36","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","LBS39",2,49823,5909532,0.843095527699994
"37","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS35",2,35134,6009023,0.584687394273578
"38","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","LBS22",3,44194,6081024,0.726752599562179
"39","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","LBS08",0,0,6119460,0
"40","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","LBS05",1,39374,6147021,0.640537912592132
"41","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","JWS06",2,46544,6238595,0.746065420178742
"42","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","LBS23",2,34229,6276716,0.545332941621064
"43","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","LBS20",1,20334,6325103,0.321480930824368
"44","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","JWS15",1,19414,6456491,0.300689647054414
"45","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","LBS21",0,0,7787708,0
"46","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS34",3,114718,7804239,1.46994473131845
"47","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","LBS50",1,49942,8530115,0.585478624848551
"48","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","LBS48",0,0,8912289,0
