Genome	Family	Number_genomes_hit	Max_ani	Max_prots	Max_prop
amPh_100	Unclassified	47	44.286	6	0.2857142857142857
amPh_100	Ackermannviridae	8	28.302	2	0.09523809523809523
amPh_100	Myoviridae	47	38.907	5	0.23809523809523808
amPh_100	Kyanoviridae	46	30.57	2	0.09523809523809523
amPh_100	Siphoviridae	30	43.478	2	0.09523809523809523
amPh_100	Straboviridae	32	27.891	3	0.14285714285714285
amPh_100	Druskaviridae	1	27.907	1	0.047619047619047616
amPh_100	Peduoviridae	2	33.333	1	0.047619047619047616
amPh_100	Podoviridae	1	28.685	1	0.047619047619047616
amPh_100	Herelleviridae	1	27.619	1	0.047619047619047616
amPh_100	Autographiviridae	1	27.869	1	0.047619047619047616
amPh_101	Myoviridae	111	60.606	13	0.5
amPh_101	Drexlerviridae	36	34.27	1	0.038461538461538464
amPh_101	Unclassified	106	74.194	9	0.34615384615384615
amPh_101	Siphoviridae	104	54.902	3	0.11538461538461539
amPh_101	Autographiviridae	65	47.727	3	0.11538461538461539
amPh_101	Kyanoviridae	2	34.951	1	0.038461538461538464
amPh_101	Straboviridae	3	30.968	1	0.038461538461538464
amPh_101	Peduoviridae	22	47.873000000000005	3	0.11538461538461539
amPh_101	Demerecviridae	2	36.486	1	0.038461538461538464
amPh_101	Podoviridae	21	46.154	2	0.07692307692307693
amPh_101	Zobellviridae	3	36.0	2	0.07692307692307693
amPh_101	Ackermannviridae	2	50.0	1	0.038461538461538464
amPh_101	Salasmaviridae	5	32.45	1	0.038461538461538464
amPh_101	Herelleviridae	2	36.364	1	0.038461538461538464
amPh_101	Casjensviridae	1	33.951	1	0.038461538461538464
amPh_102	Unclassified	465	60.417	9	0.15254237288135594
amPh_102	Casjensviridae	34	37.733666666666664	11	0.1864406779661017
amPh_102	Siphoviridae	443	61.905	8	0.13559322033898305
amPh_102	Myoviridae	185	59.56106666666667	30	0.5084745762711864
amPh_102	Zierdtviridae	10	33.27466666666667	3	0.05084745762711865
amPh_102	Peduoviridae	21	47.669	2	0.03389830508474576
amPh_102	Podoviridae	53	55.814	4	0.06779661016949153
amPh_102	Autographiviridae	65	59.459	4	0.06779661016949153
amPh_102	Drexlerviridae	37	39.778	4	0.06779661016949153
amPh_102	Herelleviridae	32	39.69533333333333	4	0.06779661016949153
amPh_102	Straboviridae	7	45.161	2	0.03389830508474576
amPh_102	Mesyanzhinovviridae	11	49.956	6	0.1016949152542373
amPh_102	Kyanoviridae	28	40.426	4	0.06779661016949153
amPh_102	Salasmaviridae	6	35.345	1	0.01694915254237288
amPh_102	Vilmaviridae	13	60.714	2	0.03389830508474576
amPh_102	Suolaviridae	1	25.483666666666668	3	0.05084745762711865
amPh_102	Vertoviridae	2	33.588	4	0.06779661016949153
amPh_102	Zobellviridae	6	41.429	1	0.01694915254237288
amPh_102	Ackermannviridae	6	46.0	1	0.01694915254237288
amPh_102	Assiduviridae	2	36.71966666666667	3	0.05084745762711865
amPh_102	Anaerodiviridae	1	32.76833333333333	3	0.05084745762711865
amPh_102	Hafunaviridae	1	24.4615	2	0.03389830508474576
amPh_102	Haloferuviridae	1	33.044333333333334	3	0.05084745762711865
amPh_103	Peduoviridae	43	71.818	5	0.625
amPh_103	Myoviridae	6	66.667	1	0.125
amPh_103	Unclassified	9	60.825	1	0.125
amPh_103	Podoviridae	1	56.701	1	0.125
amPh_103	Siphoviridae	9	57.143	1	0.125
amPh_103	Anaerodiviridae	1	31.818	1	0.125
amPh_103	Straboviridae	1	48.438	1	0.125
amPh_104	Unclassified	351	66.204	17	0.3090909090909091
amPh_104	Siphoviridae	446	63.128	23	0.41818181818181815
amPh_104	Drexlerviridae	21	40.0	5	0.09090909090909091
amPh_104	Vilmaviridae	8	40.278	2	0.03636363636363636
amPh_104	Myoviridae	119	54.126666666666665	15	0.2727272727272727
amPh_104	Demerecviridae	5	29.032	1	0.01818181818181818
amPh_104	Podoviridae	41	45.833	3	0.05454545454545454
amPh_104	Zierdtviridae	5	44.444	1	0.01818181818181818
amPh_104	Straboviridae	19	35.566	3	0.05454545454545454
amPh_104	Peduoviridae	10	45.783	3	0.05454545454545454
amPh_104	Casjensviridae	13	31.844	1	0.01818181818181818
