"","Phylum","Class","Order","Family","Genus","iso_name","Num_of_phage","phage.length.sum","bac.size","percent"
"1","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","JWS02",0,0,161664,0
"2","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium","LBS32",1,45985,2848428,1.61439924056357
"3","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Unknown Cellulomonadaceae","JWS09",0,0,3639348,0
"4","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium","LBS31",1,38195,3661248,1.04322351285682
"5","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium","LBS30",0,0,3752593,0
"6","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS43",1,39156,3757838,1.04198211844151
"7","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium","LBS33",0,0,3859991,0
"8","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS46",1,40888,4049855,1.00961639367335
"9","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS42",0,0,4066677,0
"10","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","LBS47",1,36382,4216474,0.862853654498996
"11","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS44",1,38544,4239816,0.909096055111826
"12","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","LBS45",2,67402,4262143,1.58141104134704
"13","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","JWS14",4,89623,4535529,1.97602087871117
"14","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","LBS41",2,41031,4671295,0.878364564858353
"15","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","LBS04",4,110558,4683883,2.36039200808389
"16","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","LBS02",6,147589,4688830,3.1476722337982
"17","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","JWS12",4,203826,4712681,4.32505404036471
"18","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS12",2,73408,4761345,1.54174923262229
"19","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","LBS11",1,46412,4826828,0.961542445680683
"20","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","LBS10",1,37880,4827149,0.784728211207071
