"","phage_seq","Source","Isolation","DetailedIsolation","Genus","Isolate.ID","Sequencing.ID","Closest.ID","Bac.size","BD.Inhibition","fullseq","length.checkv","max_score","max_score_group","hallmark","viral","cellular","prediction","rd","phage_filt","og_phage_seq","genome","secondary_cluster","representative"
"1","amPh_100","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,0.51,"amPh_100.fna",32189,0.907,"dsDNAphage",4,20.6,23.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S39_2||0_partial","amPh_100.fna","53_0","reference_phage"
"2","amPh_101","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,0.51,"amPh_101.fna",17634,0.927,"dsDNAphage",7,32.6,30.5,"virus","rd1","phage_pass","LB_S39_4||0_partial_1","amPh_101.fna","54_0","reference_phage"
"3","amPh_102","Amphibian","Amphibian","Amphibian","Pseudomonas","CC7Q","LBS39","Pseudomonas fulva 12-X",5909532,0.51,"amPh_102.fna",51722,0.9,"dsDNAphage",13,37.3,21.6,"virus","rd1","phage_pass","LB_S39_5||0_partial_1","amPh_102.fna","55_0","reference_phage"
"4","amPh_103","Amphibian","Amphibian","Amphibian","Serratia","CC9C","LBS41","Serratia sp. HC3",4671295,0.81,"amPh_103.fna",5198,0.853,"dsDNAphage",1,26.9,30.8,"virus","rd2","phage_pass","LB_S41_4||0_partial_1","amPh_103.fna","25_0","reference_phage"
"5","amPh_104","Amphibian","Amphibian","Amphibian","Serratia","CC9C","LBS41","Serratia sp. HC3",4671295,0.81,"amPh_104.fna",35833,0.907,"dsDNAphage",9,35.2,29.6,"virus","rd1","phage_pass","LB_S41_9||0_partial_1","amPh_104.fna","6_0","reference_phage"
"6","amPh_105","Amphibian","Amphibian","Amphibian","Sphingomonas","HP5L","LBS43","Sphingomonas sp. HMP9",3757838,-0.09,"amPh_105.fna",39156,0.9,"dsDNAphage",20,29.9,11.3,"virus","rd1","phage_pass","LB_S43_1||0_partial_1","amPh_105.fna","47_0","reference_phage"
"7","amPh_106","Amphibian","Amphibian","Amphibian","Sphingomonas","HP7F","LBS44","Sphingomoans taxi strain ATCC 55669",4239816,0.93,"amPh_106.fna",38544,0.927,"dsDNAphage",6,24,15.6,"virus","rd1","phage_pass","LB_S44_2||0_partial_1","amPh_106.fna","56_0","reference_phage"
"8","amPh_107","Amphibian","Amphibian","Amphibian","Sphingomonas","HP7Q","LBS45","Sphingomonas sp. PAMC26645",4262143,-0.3,"amPh_107.fna",35897,0.8,"dsDNAphage",6,29.5,25.3,"virus","rd2","phage_pass","LB_S45_17||full_1","amPh_107.fna","50_0","reference_phage"
"9","amPh_108","Amphibian","Amphibian","Amphibian","Sphingomonas","HP7Q","LBS45","Sphingomonas sp. PAMC26645",4262143,-0.3,"amPh_108.fna",31505,0.993,"dsDNAphage",5,29.8,2.1,"virus","rd1","phage_pass","LB_S45_9||0_partial","amPh_108.fna","51_0","reference_phage"
"10","amPh_109","Amphibian","Amphibian","Amphibian","Sphingomonas","HP9M","LBS46","Sphingomonas sp. AAP5",4049855,-0.11,"amPh_109.fna",40888,0.967,"dsDNAphage",6,37.5,10.9,"virus","rd1","phage_pass","LB_S46_23||0_partial_1","amPh_109.fna","57_0","reference_phage"
