"","iso_name","Genus","Source","Isolation","bac.size","Num_of_phage","phage.length.sum","percent"
"1","LBS22","Janthinobacterium","Amphibian","Amphibian",6081024,3,44194,0.726752599562179
"2","GCA_000632025","Janthinobacterium","NCBI","Host_non",6212741,1,16012,0.257728432587162
"3","GCA_020208155","Janthinobacterium","NCBI","Enviro",6235214,1,24085,0.38627383117885
"4","JWS06","Janthinobacterium","Amphibian","Amphibian",6238595,2,46544,0.746065420178742
"5","GCA_023509035","Janthinobacterium","NCBI","Enviro",6262430,1,13636,0.217742952815441
"6","LBS23","Janthinobacterium","Amphibian","Amphibian",6276716,2,34229,0.545332941621064
"7","GCA_900119665","Janthinobacterium","NCBI","Host_non",6300551,1,20197,0.320559265372187
"8","LBS20","Janthinobacterium","Amphibian","Amphibian",6325103,1,20334,0.321480930824368
"9","GCA_018138675","Janthinobacterium","NCBI","Enviro",6351292,2,35941,0.565884862481523
"10","GCA_011601275","Janthinobacterium","NCBI","Enviro",6370320,1,18577,0.29161800349119
"11","GCA_013372045","Janthinobacterium","NCBI","Enviro",6373589,2,51246,0.804036783670864
"12","GCA_030908825","Janthinobacterium","NCBI","Enviro",6380747,0,0,0
"13","GCA_030909085","Janthinobacterium","NCBI","Enviro",6380870,0,0,0
"14","GCA_030909125","Janthinobacterium","NCBI","Enviro",6381259,0,0,0
"15","GCA_006152155","Janthinobacterium","NCBI","Enviro",6382737,1,17778,0.278532548027594
"16","GCA_017356645","Janthinobacterium","NCBI","Host_non",6417505,0,0,0
"17","GCA_008757015","Janthinobacterium","NCBI","Host_non",6467981,0,0,0
"18","GCA_000783415","Janthinobacterium","NCBI","Enviro",6535606,1,25741,0.393857891678293
"19","GCA_001854915","Janthinobacterium","NCBI","Enviro",6598564,0,0,0
"20","GCA_020858175","Janthinobacterium","NCBI","Enviro",6691629,1,10725,0.160274874772645
"21","GCA_001758635","Janthinobacterium","NCBI","Enviro",6709653,1,30007,0.447221339166124
"22","GCA_013372065","Janthinobacterium","NCBI","Enviro",6756191,1,20032,0.29649842640624
"23","GCA_900451145","Janthinobacterium","NCBI","Enviro",6760367,1,30648,0.453348168819829
"24","LBS21","Janthinobacterium","Amphibian","Amphibian",7787708,0,0,0
