phage_seq	rename
GCA_000242815.2_21||0_partial_1	janth_1
GCA_000632025.1_1||0_partial_1	janth_2
GCA_000632025.1_8||0_partial_1	janth_3
GCA_000783415.1_104||0_partial_1	janth_4
GCA_000783415.1_78||full_1	janth_5
GCA_000783415.1_93||0_partial_1	janth_6
GCA_001678745.2_14||full_1	janth_7
GCA_001678745.2_1||0_partial_1	janth_8
GCA_001678745.2_1||1_partial_1	janth_9
GCA_001678745.2_1||2_partial_1	janth_10
GCA_001678745.2_1||3_partial_1	janth_11
GCA_001678745.2_1||4_partial_1	janth_12
GCA_001758635.1_64||0_partial	janth_13
GCA_001854915.1_12||0_partial_1	janth_14
GCA_001854915.1_6||0_partial_1	janth_15
GCA_001854915.1_9||0_partial_1	janth_16
GCA_001854915.1_9||1_partial_1	janth_17
GCA_006152155.1_12||0_partial_1	janth_18
GCA_006152155.1_1||0_partial_1	janth_19
GCA_006152155.1_1||1_partial_1	janth_20
GCA_008757015.1_1||0_partial_1	janth_21
GCA_011601275.1_33||0_partial_1	janth_22
GCA_011601275.1_44||0_partial_1	janth_23
GCA_011601275.1_9||0_partial_1	janth_24
GCA_013372045.1_1||0_partial_1	janth_25
GCA_013372045.1_1||1_partial_1	janth_26
GCA_013372045.1_1||2_partial	janth_27
GCA_013372065.1_1||0_partial_1	janth_28
GCA_013372065.1_1||1_partial_1	janth_29
GCA_013372065.1_1||2_partial_1	janth_30
GCA_013372065.1_1||3_partial_1	janth_31
GCA_013372065.1_1||4_partial_1	janth_32
GCA_017356645.1_1||0_partial_1	janth_33
GCA_018138675.1_12||0_partial_1	janth_34
GCA_018138675.1_17||0_partial_1	janth_35
GCA_018138675.1_17||1_partial_1	janth_36
GCA_020208155.1_11||0_partial_1	janth_37
GCA_020208155.1_11||1_partial_1	janth_38
GCA_020208155.1_42||0_partial_1	janth_39
GCA_020858175.1_35||0_partial_1	janth_40
GCA_023509035.1_1||0_partial_1	janth_41
GCA_023509035.1_1||1_partial_1	janth_42
GCA_023509035.1_1||2_partial	janth_43
GCA_023512775.1_1471||full	janth_44
GCA_023512775.1_1625||full	janth_45
GCA_900119665.1_10||0_partial_1	janth_46
GCA_900451145.1_2||0_partial_1	janth_47
GCA_900451145.1_2||1_partial	janth_48
GCA_900451225.1_1||0_partial_1	janth_49
GCA_900451225.1_4||0_partial_1	janth_50
GCA_945864765.1_362||full	janth_51
