"","iso_name","Genus","Source","Isolation","bac.size","Num_of_phage","phage.length.sum","percent"
"1","LBS22","Janthinobacterium","Amphibian","Amphibian",6081024,5,127936,2.10385619264124
"2","GCA_000632025","Janthinobacterium","NCBI","Host_non",6212741,2,55007,0.88539020055721
"3","GCA_020208155","Janthinobacterium","NCBI","Enviro",6235214,3,87637,1.40551711617276
"4","JWS06","Janthinobacterium","Amphibian","Amphibian",6238595,2,46544,0.746065420178742
"5","GCA_023509035","Janthinobacterium","NCBI","Enviro",6262430,3,139112,2.22137413112801
"6","LBS23","Janthinobacterium","Amphibian","Amphibian",6276716,3,68770,1.09563663546351
"7","GCA_900119665","Janthinobacterium","NCBI","Host_non",6300551,1,20197,0.320559265372187
"8","LBS20","Janthinobacterium","Amphibian","Amphibian",6325103,4,158981,2.51349266565303
"9","GCA_018138675","Janthinobacterium","NCBI","Enviro",6351292,3,69701,1.09743025513549
"10","GCA_011601275","Janthinobacterium","NCBI","Enviro",6370320,3,121941,1.91420525185548
"11","GCA_013372045","Janthinobacterium","NCBI","Enviro",6373589,3,96557,1.51495491786496
"12","GCA_030908825","Janthinobacterium","NCBI","Enviro",6380747,0,0,0
"13","GCA_030909085","Janthinobacterium","NCBI","Enviro",6380870,0,0,0
"14","GCA_030909125","Janthinobacterium","NCBI","Enviro",6381259,0,0,0
"15","GCA_006152155","Janthinobacterium","NCBI","Enviro",6382737,3,119837,1.87751743491859
"16","GCA_017356645","Janthinobacterium","NCBI","Host_non",6417505,1,42764,0.666364887912047
"17","GCA_008757015","Janthinobacterium","NCBI","Host_non",6467981,1,41866,0.647280812977033
"18","GCA_000783415","Janthinobacterium","NCBI","Enviro",6535606,3,101609,1.55469898277222
"19","GCA_001854915","Janthinobacterium","NCBI","Enviro",6598564,4,179462,2.71971295572794
"20","GCA_020858175","Janthinobacterium","NCBI","Enviro",6691629,1,10725,0.160274874772645
"21","GCA_001758635","Janthinobacterium","NCBI","Enviro",6709653,1,30007,0.447221339166124
"22","GCA_013372065","Janthinobacterium","NCBI","Enviro",6756191,5,229298,3.39389457758077
"23","GCA_900451145","Janthinobacterium","NCBI","Enviro",6760367,2,43548,0.644166211686437
"24","LBS21","Janthinobacterium","Amphibian","Amphibian",7787708,1,33995,0.436521246045691
